time-of-completion,duration,label
2024-11-21-17-42,90,W1 main
2024-11-21-13-59,90,W1 main
2024-11-20-18-05,90,W1 main
2024-11-20-15-08,90,W1 main
2024-11-20-13-37,90,W1 main
2024-11-20-11-36,8,W1 main
2024-11-19-16-43,90,W1 main
2024-11-19-15-12,90,W1 main
2024-11-19-09-41,46,W1 main
2024-11-18-17-02,90,W1 main
2024-11-18-15-31,90,W1 main
2024-11-18-14-00,90,W1 main
2024-11-18-12-29,90,W1 main
2024-11-18-10-49,11,Ltg
2024-11-16-19-27,57,W1 main
2024-11-15-19-13,90,W1 main
2024-11-15-16-50,90,W1 main
2024-11-15-15-19,90,W1 main
2024-11-15-10-35,14,W1 main
2024-11-14-17-55,91,W1 main
2024-11-14-15-59,91,W1 main
2024-11-14-14-27,90,W1 main
2024-11-14-11-20,33,W1 main
2024-11-13-16-04,90,W1 main
2024-11-13-04-42,89,Ltg
2024-11-13-03-13,64,W1 main
2024-11-12-12-48,68,W1 main
2024-11-11-14-13,90,W1 main
2024-11-11-12-23,14,W1 main
2024-11-11-10-17,11,WCmn
2024-11-10-11-58,14,Ltg
2024-11-06-09-37,2,WCmn
2024-11-05-21-13,13,Ltg
2024-11-05-21-00,91,Ltg
2024-11-05-15-13,45,WCmn
2024-11-03-20-54,84,Ltg
2024-10-30-15-27,13,W1 main
2024-10-29-11-47,90,W1 main
2024-10-28-14-38,90,W1 main
2024-10-28-12-53,90,W1 main
2024-10-28-10-44,17,W1 main
2024-10-25-17-27,90,W1 main
2024-10-25-15-57,53,W1 main
2024-10-24-14-16,90,W1 main
2024-10-24-12-46,78,W1 main
2024-10-21-17-37,91,W1 main
2024-10-21-14-03,90,W1 main
2024-10-18-19-17,90,W1 main
2024-10-18-17-46,90,W1 main
2024-10-18-15-15,90,W1 main
2024-10-18-12-28,90,W1 main
2024-10-18-10-42,89,W1 main
2024-10-17-16-46,90,W1 main
2024-10-17-14-40,90,W1 main
2024-10-17-11-02,90,W1 main
2024-10-15-16-54,90,W1 main
2024-10-15-14-22,90,W1 main
2024-10-14-17-15,91,W1 main
2024-10-14-14-27,77,W1 main
2024-10-14-09-04,12,W1 main
2024-10-10-16-05,90,W1 main
2024-10-10-14-34,90,W1 main
2024-10-10-10-02,42,W1 main
2024-10-09-16-48,90,W1 main
2024-10-04-22-46,90,W1 main
2024-10-04-21-15,90,W1 main
2024-10-04-19-44,90,W1 main
2024-10-04-16-52,90,W1 main
2024-10-04-12-25,82,W1 main
2024-10-03-17-59,90,W1 main
2024-10-03-16-28,90,W1 main
2024-10-03-12-31,89,W1 main
2024-10-01-22-04,90,W1 main
2024-10-01-20-33,90,W1 main
2024-10-01-19-02,90,W1 main
2024-10-01-14-37,90,W1 main
2024-10-01-09-05,40,W1 main
2024-09-30-15-57,90,W1 main
2024-09-28-00-42,54,W1 main
2024-09-26-12-52,6,W1 main
2024-09-26-10-21,85,W1 main
2024-09-25-11-17,17,W1 main
2024-09-24-16-54,90,W1 main
2024-09-24-14-24,90,W1 main
2024-09-24-12-23,65,W1 main
2024-09-23-13-50,90,W1 main
2024-09-20-14-26,90,W1 main
2024-09-20-09-49,15,W1 main
